fold,seed,image_id,method,stage,mse,psnr_db,ssim,delta_e00,element_count,below_zero_count,above_one_count,total_oor_count,below_zero_fraction,above_one_fraction,total_oor_fraction,mean_clip_magnitude_active,max_clip_magnitude
0,20260813,151.png,RGB_ADD_FULL_B0P1,post-clipping,0.0005551954963301197,32.555540654763114,0.9881560802459717,2.623202227265827,529200,10262,3,10265,0.01939153439153439,5.668934240362812e-06,0.019397203325774753,0.02697612424803813,0.05761025473475456
0,20260813,151.png,BOSR_FULL_B1,final,0.0005819495915763747,32.35114632271659,0.9805982708930969,2.769471387450974,,,,,,,0.0,,
0,20260813,161.png,RGB_ADD_FULL_B0P1,pre-clipping,0.00046494783791597646,33.3259576748845,0.9301689863204956,2.179268147473514,529200,67812,0,67812,0.128140589569161,0.0,0.128140589569161,0.01313972438058819,0.051243919879198074
0,20260813,161.png,RGB_ADD_FULL_B0P1,post-clipping,0.0004209680237552619,33.75750891418613,0.9810514450073242,2.0948958024251434,529200,67812,0,67812,0.128140589569161,0.0,0.128140589569161,0.01313972438058819,0.051243919879198074
0,20260813,161.png,BOSR_FULL_B1,final,0.0004366413026358906,33.59875186037647,0.972030520439148,2.2582083403858517,,,,,,,0.0,,
0,20260813,168.png,RGB_ADD_FULL_B0P1,pre-clipping,0.0005030769908671803,32.98365545460838,0.9332574009895325,2.694816354172434,529200,13554,2644,16198,0.025612244897959182,0.0049962207105064245,0.03060846560846561,0.01977496687817569,0.052900202572345734
0,20260813,168.png,RGB_ADD_FULL_B0P1,post-clipping,0.0004815369594494756,33.17370373816803,0.9506763219833374,2.623089799046369,529200,13554,2644,16198,0.025612244897959182,0.0049962207105064245,0.03060846560846561,0.01977496687817569,0.052900202572345734
0,20260813,168.png,BOSR_FULL_B1,final,0.0005077616773968181,32.94340079994677,0.9477566480636597,2.6211866008481217,,,,,,,0.0,,
0,20260813,169.png,RGB_ADD_FULL_B0P1,pre-clipping,0.0006703344056234854,31.737084894098572,0.9773884415626526,2.491087669394816,529200,9519,1,9520,0.0179875283446712,1.8896447467876038e-06,0.01798941798941799,0.027602933230770125,0.05429347977042198
0,20260813,169.png,RGB_ADD_FULL_B0P1,post-clipping,0.000652986847804322,31.85095566019767,0.9852120876312256,2.4274113842303686,529200,9519,1,9520,0.0179875283446712,1.8896447467876038e-06,0.01798941798941799,0.027602933230770125,0.05429347977042198
0,20260813,169.png,BOSR_FULL_B1,final,0.000684527739112358,31.64608948261419,0.9791056513786316,2.4862764253386564,,,,,,,0.0,,
0,20260813,170.png,RGB_ADD_FULL_B0P1,pre-clipping,0.0013407651499147363,28.72647287046454,0.9753074049949646,3.71283521082257,529200,9457,0,9457,0.01787037037037037,0.0,0.01787037037037037,0.02719539183645848,0.060110341757535934
0,20260813,170.png,RGB_ADD_FULL_B0P1,post-clipping,0.0013237563876415015,28.78191931238934,0.9836002588272095,3.6496764690648846,529200,9457,0,9457,0.01787037037037037,0.0,0.01787037037037037,0.02719539183645848,0.060110341757535934
0,20260813,170.png,BOSR_FULL_B1,final,0.001297806633386125,28.867900103933014,0.9771604537963867,3.655773328693415,,,,,,,0.0,,
0,20260813,185.png,RGB_ADD_FULL_B0P1,pre-clipping,0.0021100735134268506,26.757024139347845,0.9383588433265686,4.422058809173742,529200,26188,8,26196,0.04948601662887377,1.511715797430083e-05,0.049501133786848076,0.023505119317944436,0.05668775364756584
0,20260813,185.png,RGB_ADD_FULL_B0P1,post-clipping,0.0020716149169823614,26.836909704385604,0.9779059886932373,4.333442750753816,529200,26188,8,26196,0.04948601662887377,1.511715797430083e-05,0.049501133786848076,0.023505119317944436,0.05668775364756584
